species,epitope,arm,design,pass,composite_score,iptm,complex_plddt,binder_ptm,binder_rmsd,confidence_score,pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s7,False,0.6736,0.6146,0.5656,0.9649,0.87,0.5754351019859314,mouse_ecl2_0_s7_model_0.pdb
human,ecl2,human_ecl2,human_ecl2_0_s2,False,0.6475,0.6249,0.5494,0.8408,1.23,0.5644880533218384,human_ecl2_0_s2_model_0.pdb
human,composite,human_composite,human_composite_0_s6,False,0.5882,0.6765,0.542,0.8076,5.18,0.5688866972923279,human_composite_0_s6_model_0.pdb
mouse,composite,mouse_composite,mouse_composite_0_s1,False,0.574,0.4782,0.6154,0.777,2.12,0.5879596471786499,mouse_composite_0_s1_model_0.pdb
mouse,composite,mouse_composite,mouse_composite_0_s3,False,0.5458,0.4539,0.5734,0.8022,2.54,0.5495138168334961,mouse_composite_0_s3_model_0.pdb
human,ecl1,human_ecl1,human_ecl1_0_s1,False,0.5213,0.3581,0.6157,0.7605,1.93,0.5641819834709167,human_ecl1_0_s1_model_0.pdb
mouse,composite,mouse_composite,mouse_composite_0_s6,False,0.5168,0.404,0.5643,0.7876,2.62,0.5322467684745789,mouse_composite_0_s6_model_0.pdb
human,composite,human_composite,human_composite_0_s0,False,0.5076,0.4776,0.5955,0.6519,4.19,0.5718827247619629,human_composite_0_s0_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s4,False,0.5076,0.2077,0.614,0.9584,0.69,0.5327442288398743,mouse_ecl2_0_s4_model_0.pdb
mouse,composite,mouse_composite,mouse_composite_0_s2,False,0.4983,0.3989,0.5627,0.737,3.03,0.5299689769744873,mouse_composite_0_s2_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s1,False,0.4975,0.1929,0.6083,0.9065,0.39,0.5252494215965271,mouse_ecl2_0_s1_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s0,False,0.4878,0.1811,0.575,0.9563,0.48,0.49620839953422546,mouse_ecl2_0_s0_model_0.pdb
human,ecl2,human_ecl2,human_ecl2_0_s7,False,0.4863,0.2853,0.5634,0.8061,1.6,0.5077711343765259,human_ecl2_0_s7_model_0.pdb
mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s2,False,0.4862,0.2558,0.6213,0.7995,1.76,0.5481631755828857,mouse_ecl1_0_s2_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s2,False,0.4848,0.1684,0.5912,0.9563,0.59,0.5066593885421753,mouse_ecl2_0_s2_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s6,False,0.4845,0.1725,0.5852,0.9487,0.55,0.5026329159736633,mouse_ecl2_0_s6_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s5,False,0.4772,0.1479,0.596,0.9539,0.56,0.5063436031341553,mouse_ecl2_0_s5_model_0.pdb
mouse,ecl1,mouse_ecl1,mouse_ecl1_0_s0,False,0.4756,0.2162,0.6043,0.8564,1.57,0.5266701579093933,mouse_ecl1_0_s0_model_0.pdb
human,composite,human_composite,human_composite_0_s1,False,0.4714,0.4073,0.5999,0.7213,5.69,0.5613998770713806,human_composite_0_s1_model_0.pdb
human,ecl2,human_ecl2,human_ecl2_0_s3,False,0.4605,0.2025,0.6181,0.7706,1.58,0.5349740386009216,human_ecl2_0_s3_model_0.pdb
mouse,ecl2,mouse_ecl2,mouse_ecl2_0_s3,False,0.4602,0.1111,0.6019,0.9629,0.74,0.5037162899971008,mouse_ecl2_0_s3_model_0.pdb
